Hundename,Original_Hundename,Score,EpiProgeny
Lettermore Trout,FTCh Lettermore Trout,"4,9375","Dual's Hope Nicam, Eagle Owl's Osiris, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Glengad Dobby, Hh's On Duty Cronos, Huntrets Gott Mos, Huntrets Scilla, Kingsdale Meadow Dark, Labstratego Yellow River, Meadowlark Black Kite, Muschelsucher Clooney, NIINIVUOREN MEREN-SALAISUUS, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Sea-Croft Nimble, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Ruffling Thea, Searover Sweet Flip Flop, S?KH I VATTUMANNEN HUMLE, Vauhti-Noudon Vauhtineito, Wijmas Lilla My, Wijmas Mymlan, Willowyck Unite, Zetastar Zesty Boy"
Searover Fancy Fascination,NORDJCH Searover Fancy Fascination,"4,6875","Caper Cailie's Ohio, Eagle Owl's Osiris, Frankie's Rolle, Huntrets Gott Mos, Huntrets Scilla, Hypnos Spectre, IVANTHES FIRST PLOPP, Labstratego Yellow River, Middle River's Forest Harmony, Moorman's Lennie Mirak, Sea-Croft Kay's Iowa, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Thorsvi Harris, Thorsvi Rock Creek, Vauhti-Noudon Vauhtineito, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Willowridge Five Star, Winning Line's License to Kill"
Warringah's Cobb,"Dt.Ch./Int.Ch./VDH-Ch. Warringah's Cobb BHP, JP/R, BLP, JEP","4,5625","Aaron from Elderberry Grove, Aika vom Steindammer-Forst, Angel of Hope Arik, As Game As Ermara, Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Gr�fin von Westerholts Kastalia, Grages Annalouisa, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, Kleo vom Fallenbergs-Hof, Meta vom Barkendiek"
Lochmuir Bonnie,FTCh Lochmuir Bonnie,"4,5625","Brufinn Keep Retrieving Doc, Chilihunters Pro Hazy, Cosmic Cover's Mill's Jaywalker, Dimh�jdens Jack Af Barney, Frankie's Rolle, Hardrocks Blue Danube, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Hypnos Spectre, Kingsdale Meadow Dark, Meadowlark Marigold, Meadowlark Mr Badger, Muschelsucher Clooney, Never change Gasper, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Sea-Croft Nimble, Searover Easy Sjakk, Searover Sweet Flip Flop, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan, Winning Line's License to Kill"
Willowyck  Ruff,FTCh Willowyck Ruff,"4,375","Anthony Kenneth from Grannies Garden, Batmoors' Apollo Lurgan, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, COSMIC COVER'S WIN CALL TO FIND OUT, Deep Impact As Nike, Dual's Hope Nicam, Gr�fin von Westerholts Kastalia, Hh's On Duty Cronos, Kingsdale Meadow Dark, Kosta Kl�vers Bran, Meadowlark Marigold, Meadowlark Mr Badger, NIINIVUOREN MEREN-SALAISUUS, Sea-Croft Kay's Iowa, Searover Ruffling Thea, Splash of Water's Capercaillie, Splash of Water's Grouse, Sven (SE21895/2015), Thorsvi Rock Creek, Vauhti-Noudon Vauhtineito, Winning Line's License to Kill"
Stormwatch Spider of Tasco,FTCh Stormwatch Spider of Tasco,"4,375","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Frankie's Rolle, Glengad Dobby, Hh's On Duty Cronos, Huntrets Gott Mos, Huntrets Scilla, Kingsdale Meadow Dark, Labstratego Yellow River, Meadowlark Black Kite, Muschelsucher Clooney, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Sea-Croft Nimble, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, S?KH I VATTUMANNEN HUMLE, Vauhti-Noudon Vauhtineito, Zetastar Zesty Boy"
Minstead Morse,FTCh Minstead Morse,"4,3125","Caper Cailie's Ohio, Eagle Owl's Osiris, Frankie's Rolle, Glengad Dobby, Hypnos Spectre, IVANTHES FIRST PLOPP, Kosta Kl�vers Bran, Labstratego Yellow River, Middle River's Forest Harmony, Moorman's Lennie Mirak, Never change Gasper, Raven vom Tor zur Egge, Sea-Croft Kay's Iowa, Searover Day Mackay, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, Streamlight's Grappas Dexter, Thorsvi Rock Creek, Vauhti-Noudon Vauhtineito, Viltv�rdarns Galax, Viltv�rdarns Unika Enya, Willowridge Five Star, Winning Line's License to Kill"
Mallorn's Diesel,SE UCH DK UCH Mallorn's Diesel,"4,25","Ambra vom freien Blick, Aslan vom freien Blick, Clausi von der Aacher Haag, Doro�s Bennet Fellow for Life, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Baildonian Baron of Craighorn,FTCh Baildonian Baron of Craighorn,"4,25","Anthony Kenneth from Grannies Garden, Batmoors' Apollo Lurgan, Brufinn Keep Retrieving Doc, Deep Impact As Nike, Dimh�jdens Jack Af Barney, Frankie's Rolle, Hh's On Duty Cronos, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Kingsdale Meadow Dark, Meadowlark Black Kite, Meadowlark Marigold, Meadowlark Mr Badger, Pibiz Game Keeper, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Searover Sweet Flip Flop, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Thorsvi Rock Creek, S?KH I VATTUMANNEN HUMLE, Wijmas Lilla My, Wijmas Mymlan, Winning Line's License to Kill, Zetastar Zesty Boy"
Craighorn Bracken,FTCh Craighorn Bracken (KCSB 3306CI),"4,25","Anthony Kenneth from Grannies Garden, Brufinn Keep Retrieving Doc, Chilihunters Pro Hazy, Deep Impact As Nike, Glengad Dobby, Hardrocks Blue Danube, Hypnos Spectre, Kingsdale Meadow Dark, Meadowlark Marigold, Meadowlark Mr Badger, Muschelsucher Clooney, Never change Gasper, Perdix Gundogs Englishman in New York, Pibiz Game Keeper, Polarfischer Greg, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Searover Sweet Flip Flop, Thorsvi Harris, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan, Willowridge Five Star"
Charway Blackjack,"Int.Ch./Lux.Ch./J.W./Dt.Ch./VDH-Ch./?ster. Bundes Charway Blackjack BHP, BLP, JEP","4,0625","Aaron from Elderberry Grove, Alerich of Trickster Hero, Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Cassiopeia vom Hof F?rst, Gismo vom G?nsried, Gwendy's Gandalf, Hanno vom Fallenbergs-Hof, Hardrocks Blue Danube, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Lauterrinn's Dale Sir Wesley, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Suttonpark Benjamin at Rocheby,DRC/VDH CH Suttonpark Benjamin at Rocheby,4,"Ambra vom freien Blick, Aslan vom freien Blick, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, King von der Bleiburg, Nanni-Nadalina von der Bleiburg"
Lawnwoods Wish Me Luck,Dt. Ch./Int. Ch./VDH-Ch. Lawnwoods Wish Me Luck WT BHP BLP JEP Btr F.T,"3,875","Aaron from Elderberry Grove, Alerich of Trickster Hero, Armani Damon vom Asbrookdamm, As Game As Ermara, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Clinton vom Hembeck, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Gismo vom G?nsried, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Kleo vom Fallenbergs-Hof, Snowy Roxy vom Windbrunnen, Ulanda aus dem Burghaus, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
Dargdaffin Dynamo,FTCh Dargdaffin Dynamo,"3,875","Chilihunters Over Bridge, Chilihunters Over Trouble, Hardrocks Blue Danube, Hh's On Duty Cronos, IVANTHES FIRST PLOPP, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, Muschelsucher Clooney, Namusillan Tammikehr��j�, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Searover Easy Sjakk, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, S?KH I VATTUMANNEN HUMLE, Viltv�rdarns Unika Enya, Zetastar Zesty Boy"
Glenbriar Solo,FTCh Glenbriar Solo,"3,8125","Batmoors' Apollo Lurgan, Cosmic Cover's Mill's Jaywalker, COSMIC COVER'S WIN CALL TO FIND OUT, Dual's Hope Nicam, Eagle Owl's Osiris, Flying Flap Ears Ice Age, Gr�fin von Westerholts Kastalia, Hillraisins Black Bertha, Hypnos Spectre, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Meadowlark Black Kite, Middle River's Forest Harmony, Muschelsucher Clooney, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Pibiz Game Keeper, Quickrunners Alan, Quickrunners August, Raven vom Tor zur Egge, Sea-Croft Nimble, Searover Sweet Flip Flop, Thorsvi Rock Creek, Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan"
Hatchfield Feargal,FTCh Hatchfield Feargal,"3,8125","Batmoors' Apollo Lurgan, Cliff vom Zwillbrocker Venn, Cosmic Cover's Mill's Jaywalker, Dual's Hope Nicam, Gr�fin von Westerholts Kastalia, Hh's On Duty Cronos, Hypnos Spectre, Kosta Kl�vers Bran, Limmerhultarna's Solstorm, Meadowlark Marigold, Meadowlark Mr Badger, Namusillan Tammikehr��j�, Sea-Croft Kay's Iowa, Searover Day Mackay, Streamlight's Grappas Dexter, Sven (SE21895/2015), Thorsvi Harris, Thorsvi Rock Creek, Willowridge Five Star"
Kupros Master Mariner,GB Ch Kupros Master Mariner,"3,75","Aaron from Elderberry Grove, Armani Damon vom Asbrookdamm, As Game As Ermara, Cassiopeia vom Hof F?rst, Charway Rainstorm, Clausi von der Aacher Haag, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Donna of Anny's Labs, Dumbledore of Anny's Labs, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Faithful Bright Eyes Autumn Love, Fiin Hemuli, Gent Fynn from the Old Mansion House, Gismo vom G?nsried, Grages Annalouisa, Gwendy's Gandalf, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Hof Sommerberg Carlos, Holli von Gugi's Kate, Illko Wind in the Willows, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, KhylarCreek Entering Mach II, King von der Bleiburg, Kleo vom Fallenbergs-Hof, Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley, Ludanies Be Brave, Mira von Gugi's Kate, Nothing Matters vom Auerswalder Teich, Olina von der Hollen-Hardt, Omenalaakson Charles For My Love, Pictorial Betty, Rosanan White Gold, Shadowvale's Tough Lady Hope, Ulanda aus dem Burghaus"
Haretor Mark of Drakeshead,FTCh  Haretor Mark of Drakeshead,"3,75","Batmoors' Apollo Lurgan, Caper Cailie's Ohio, Carson vom Stecknitztal, Charway Rainstorm, Chilihunters Game Glen, Chilihunters Pro Hazy, Deep Impact As Nike, Dimh�jdens Jack Af Barney, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Hardrocks Blue Danube, SE J(J)CH Hillus Drake, Hypnos Spectre, Limmerhultarna's Solstorm, Lochmuir Casey, Mandylike's Porsche, Mandylike's Twinkle, Merjatuulian Wekkuli, Muistokas Rollo, Namusillan Tammikehr��j�, Never change Gasper, Niinivuoren Aamu-Uninen, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Raven vom Tor zur Egge, Reedsweeper's Desna, Searover Cosys Karo, Searover Day Mackay, Searover Easy Sjakk, Searover Ruffling Thea, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Waterfowler Ace, Wijmas Lilla My, Wijmas Mymlan, Willowyck Unite, Zetastar Zesty Boy"
Whitecity Black,Whitecity Black,"3,75","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
Kelland Ross,Int FT Ch Kelland Ross,"3,625","COSMIC COVER'S WIN CALL TO FIND OUT, Hillraisins Black Bertha, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Middle River's Forest Harmony, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Raven vom Tor zur Egge"
Gianna of Carinthia,Int. FTCH Gianna of Carinthia,"3,625","COSMIC COVER'S WIN CALL TO FIND OUT, Hillraisins Black Bertha, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Middle River's Forest Harmony, Never change Gasper, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Perdix Gundogs Englishman in New York, Raven vom Tor zur Egge"
Cambremer Tom Cobbley of Charway,EngCH Cambremer Tom Cobbley of Charway,"3,5","Aaron from Elderberry Grove, Angel of Hope Arik, As Game As Ermara, Black Hamlet L for Lake Shasta, Cassiopeia vom Hof F?rst, Catch me if you can Happy Carlo, Country Companion's Choco Pie, Double Rainbow vom Stuckenbuscher Wald, Eternal Friend's Bright Eyes, Fancyful Tramp Charly Brown, Fiin Hemuli, Gr�fin von Westerholts Kastalia, Grages Annalouisa, Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Hh's On Duty Cronos, Higgins vom Fallenbergs-Hof, Iljoscha von der Perle der S�dpfalz, Jost vom Settenbeck, Just Bertha von der Tarpenbek, King von der Bleiburg, Kleo vom Fallenbergs-Hof, Meta vom Barkendiek, Nanni-Nadalina von der Bleiburg, Omenalaakson Charles For My Love, Saskian Xino"
Havanna vom H�lser Bruch,Havanna vom H�lser Bruch,"3,5","Ambra vom freien Blick, Aslan vom freien Blick, Doro�s Bennet Fellow for Life, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch"
Tasco Dancing Brave of Willowyck,FTCh Tasco Dancing Brave of Willowyck,"3,5","Batmoors' Apollo Lurgan, Cliff vom Zwillbrocker Venn, Dual's Hope Nicam, Eagle Owl's Osiris, Hillraisins Black Bertha, Huntrets Gott Mos, Huntrets Scilla, IVANTHES FIRST PLOPP, King von der Bleiburg, Labstratego Yellow River, Limmerhultarna's Solstorm, Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Mandylike's Twinkle, Meadowlark Black Kite, NIINIVUOREN MEREN-SALAISUUS, Searover Ruffling Thea, Splash of Water's Capercaillie, Splash of Water's Grouse, SE LCH Streamlight's Ace Leon, Streamlight's Pearl Sandy, Sven (SE21895/2015), Viltv�rdarns Unika Enya, Wijmas Lilla My, Wijmas Mymlan, Willowyck Unite, Zetastar Zesty Boy"
Duvkullans Cello,SE J(J)CH Duvkullans Cello,"3,5","Chilihunters Over Bridge, Chilihunters Over Trouble, Huntrets Gott Mos, Huntrets Scilla, IVANTHES FIRST PLOPP, Middle River's Forest Harmony, Searover Cosys Karo, Searover Kellys Guns N'roses, Searover Sweet Flip Flop, SE LCH Streamlight's Ace Leon"
Annual's Sweet Biscuit,Annual's Sweet Biscuit,"3,5","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power, Kebrekato Famehunter, Kebrekato Fiddle Dee, Nothing Matters vom Auerswalder Teich"
Dickendall Arnold,Am CH Dickendall Arnold,"3,375","Aaron from Elderberry Grove, Ambra vom freien Blick, Angel of Hope Arik, Aprilmist Feat Wandoris, APRILMIST FLATLINER, Armani Damon vom Asbrookdamm, As Game As Ermara, Aslan vom freien Blick, Cannonpowder Penelope, Clausi von der Aacher Haag, Crooked Field Action, Doro�s Bennet Fellow for Life, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Fulmarus Dumpy Boy, Hardscrabble Augusta, Judges Choice Cross my Heart, Jumping Jack's Flash Absolute Power, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, KhylarCreek Entering Mach II, Kleo vom Fallenbergs-Hof, Laboriginals Oi Va Voi, Meta vom Barkendiek, Nothing Matters vom Auerswalder Teich, Saskian Xino"
Kenue Cedar,FTCh Kenue Cedar,"3,375","Batmoors' Apollo Lurgan, Brufinn Keep Retrieving Doc, Cosmic Cover's Mill's Jaywalker, Dimh�jdens Jack Af Barney, Frankie's Rolle, Hh's On Duty Cronos, SE J(J)CH Hillus Drake, Huntrets Gott Mos, Huntrets Scilla, Meadowlark Black Kite, Meadowlark Marigold, Meadowlark Mr Badger, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Searover Easy Sjakk, Streamlight's Grappas Dexter, Streamlight's Pearl Sandy, Thorsvi Rock Creek, Wijmas Lilla My, Wijmas Mymlan"
Ballyellery Adder,Irl FTCh Ballyellery Adder,"3,375","Carson vom Stecknitztal, Chilihunters Game Glen, Chilihunters Over Bridge, Chilihunters Over Trouble, Chilihunters Pro Hazy, Deep Impact As Nike, Flying Flap Ears Ice Age, Hardrocks Blue Danube, Hillraisins Black Bertha, SE J(J)CH Hillus Drake, Hypnos Spectre, Lochmuir Casey, Mandylike's Porsche, Moorman's Lennie Mirak, Muschelsucher Clooney, Namusillan Tammikehr��j�, Never change Gasper, NIINIVUOREN KULTA-KUTRI, NIINIVUOREN MEREN-SALAISUUS, Polarfischer Greg, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Quickrunners Alan, Quickrunners August, Reedsweeper's Desna, Saku (FIN46719/07), Searover Cosys Karo, Searover Day Mackay, Searover Easy Sjakk, Searover Kellys Guns N'roses, Snowy Roxy vom Windbrunnen, SE LCH Streamlight's Ace Leon, Streamlight's Pearl Sandy, S?KH I VATTUMANNEN HUMLE, Vauhti-Noudon Vauhtineito, Waterfowler Ace"
Moorman's Look Twice,SE J(J)CH SE J(A)CH Moorman's Look Twice,"3,375","Huntrets Scilla, Pumpans Autumn Gold, Pumpans Harvest Moon, Pumpans Sugar Treat, Reedsweeper's Desna, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, S?KH I VATTUMANNEN HUMLE, Willowridge Five Star, Winning Line's License to Kill"
